,956,d,2 
,957,d,2 
,958,d,2 
,959,d,2 
,960,d,2 
,960,d,2 
,962,d,2 
,962,d,2 
,961,d,2 
,960,d,2 
,959,d,2 
,960,d,2 
,962,d,2 
,962,d,2 
,970,d,2 
,967,d,2 
,961,d,2 
,968,d,2 
,964,d,2 
,963,d,2 
,962,d,2 
,963,d,2 
,962,d,2 
,962,d,2 
,962,d,2 
,961,d,2 
,961,d,2 
,962,d,2 
,959,d,2 
,962,d,2 
,963,d,2 
,960,d,2 
,960,d,2 
,958,d,2 
,959,d,2 
,958,d,2 
,958,d,2 
,955,d,2 
,955,d,2 
,954,d,2 
,954,d,2 
,954,d,2 
,952,d,2 
,951,d,2 
,950,d,2 
,950,d,2 
,951,d,2 
,943,d,2 
,949,d,2 
,936,d,2 
,949,d,2 
,949,d,2 
,949,d,2 
,949,d,2 
,946,d,2 
,949,d,2 
,948,d,2 
,947,d,2 
,947,d,2 
,946,d,2 
,947,d,2 
,943,d,2 
,942,d,2 
,942,d,2 
,942,d,2 
,942,d,2 
,941,d,2 
,931,d,2 
,936,d,2 
,935,d,2 
,936,d,2 
,937,d,2 
,932,d,2 
,926,d,2 
,928,d,2 
,931,d,2 
,930,d,2 
,929,d,2 
,929,d,2 
,929,d,2 
,928,d,2 
,927,d,2 
,927,d,2 
,926,d,2 
,925,d,2 
,925,d,2 
,926,d,2 
,927,d,2 
,928,d,2 
,933,d,2 
,923,d,2 
,922,d,2 
,921,d,2 
,919,d,2 
,915,d,2 
,909,d,2 
,904,d,2 
,902,d,2 
,906,d,2 
,919,d,2 
,915,d,2 
,902,d,2 
,903,d,2 
,916,d,2 
,912,d,2 
,903,d,2 
,916,d,2 
,911,d,2 
,904,d,2 
,915,d,2 
,914,d,2 
,903,d,2 
,917,d,2 
,915,d,2 
,903,d,2 
,925,d,2 
,944,d,2 
,979,d,2 
,944,d,2 
,962,d,2 
,958,d,2 
,955,d,2 
,960,d,2 
,953,d,2 
,959,d,2 
,958,d,2 
,950,d,2 
,952,d,2 
,952,d,2 
,947,d,2 
,954,d,2 
,949,d,2 
,945,d,2 
,953,d,2 
,946,d,2 
